"ASVs","2014F-GULD04-100mL","2014F-GULD04-100mS","2014F-GULD04-1mS","2014F-GULD04-20mL","2014F-GULD04-20mS","2014F-GULD04-250mL","2014F-GULD04-250mS","2014S-GULD04-100mL","2014S-GULD04-100mS","2014S-GULD04-1mS","2014S-GULD04-20mL","2014S-GULD04-20mS","2014S-GULD04-250mL","2014S-GULD04-250mS","2016F-GULD4-100m-L","2016F-GULD4-100m-S","2016F-GULD4-1m-L","2016F-GULD4-1m-S","2016F-GULD4-20m-L","2016F-GULD4-20m-S","2016F-GULD4-250m-L","2016F-GULD4-250m-S","2016S-GULD3-1m-L","2016S-GULD3-1m-S","2016S-GULD3-20m-L","2016S-GULD3-20m-S","2016S-GULD3-40m-L","2016S-GULD3-40m-S","2016S-GULD3-80m-L","2016S-GULD3-80m-S","2017F-GULD04-1mL","2017F-GULD04-1mS","2017F-GULD04-20mL","2017F-GULD04-20mS","2017F-GULD04-250mL","2017F-GULD04-250mS","2017F-GULD04-60mL","2017F-GULD04-60mS","2017S-GULD04-1mL","2017S-GULD04-1mS","2017S-GULD04-20mL","2017S-GULD04-20mS","2017S-GULD04-250mL","2017S-GULD04-250mS","2017S-GULD04-60mL","2017S-GULD04-60mS","2018F-SG23-1mS","2018F-SG23-20mL","2018F-SG23-20mS","2018F-SG23-250mL","2018F-SG23-250mS","2018F-SG23-60mL","2018F-SG23-60mS","2018S-GULD04-250mL","2018S-GULD04-250mS","2018S-GULD04-60mL","2019S-GULD04-250mL","2019S-GULD04-250mS","2019S-GULD04-60mS"
"9866dbaaca3ffd79affe9925c493e561",41,27,50,21,13,163,34,0,2365,10079,593,2327,741,5,1195,177,2201,958,842,73,845,350,553,58,441,59,257,126,131,93,395,1104,357,347,1189,0,3543,816,47,4378,884,3240,406,0,65,245,8008,164,849,2120,46,109,210,0,0,41,11,0,281
"a149ac2700d4fa5511b1cd92e99a0b21",423,711,0,0,0,971,0,493,116,13322,3468,5956,153,0,0,0,0,0,0,0,295,0,714,0,438,0,295,0,0,0,87,0,84,0,278,0,845,91,407,8643,1681,1163,262,0,231,0,0,0,0,642,0,488,0,211,0,0,0,0,78
"d7bf6cd3567a59eb4ddf913b2982e859",449,646,0,0,0,485,0,453,254,5355,634,3942,2104,374,54,0,0,0,0,0,511,82,0,231,508,134,477,347,236,97,43,173,77,60,3264,0,135,63,40,1837,493,1127,3366,110,43,30,0,0,0,335,20,0,0,2496,124,0,11101,176,329
"19bc519596eb5bf51419ceac27922610",219,173,0,0,0,869,0,43,119,4360,378,2484,558,81,171,93,0,0,0,0,320,99,0,126,0,0,55,98,82,306,1393,5759,438,1400,924,23,1355,346,116,3777,781,2626,568,46,324,284,3669,141,1854,1799,193,678,575,222,33,0,283,0,29
"016119bae19d1cca8495e0e8bfb51ddd",660,292,29,168,37,511,0,4211,318,3006,1109,1444,3953,91,294,0,820,0,314,0,177,0,1031,25,542,14,510,0,344,37,188,68,350,0,883,0,607,67,123,577,415,133,1605,0,368,39,784,311,207,1563,0,984,38,2875,0,542,2849,0,106
"46f53e65cf52042d1edf6fc0b767873f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33339,367,0,0,0,0,0,317,0,0
"a58d4e4c7d74dad448b43dc0ed245565",0,0,0,0,0,0,0,18813,8039,749,96,1344,154,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fe4874418656daa285ee7eb201f3200f",7,492,0,0,0,20,0,7,586,6250,127,3107,84,412,0,0,0,0,0,0,0,0,0,785,15,850,31,802,0,214,53,5089,59,1858,16,0,8,35,0,1074,12,2794,22,17,0,203,397,0,0,18,0,38,2972,29,73,0,14,0,108
"0653bd74f4bad1f28b5c7c33f5df29c5",0,56,94,0,161,0,0,0,246,4388,0,1451,0,0,0,26,0,68,0,162,0,0,0,0,0,0,0,0,0,104,0,5563,0,1230,0,0,0,256,0,2518,0,1427,0,0,0,62,9521,0,824,0,0,4,307,0,0,0,0,0,0
"79cc18bca11d6f0eab3fdd0b42f83c33",636,9434,5,2,0,548,719,0,0,0,0,0,0,0,100,631,0,0,0,0,462,1659,0,0,0,0,0,0,0,0,0,41,9,13,358,26,542,1826,0,0,0,0,0,0,0,0,281,60,446,3605,436,510,910,0,0,0,0,0,0
"df00ced29ee3e674106d5b2ec466bb0d",22,7337,0,0,0,70,1516,0,1386,33,0,28,102,4512,0,309,0,0,0,0,0,642,0,0,0,0,0,0,0,39,7,2703,3,535,14,221,11,343,0,169,0,142,0,111,0,665,53,0,15,60,1586,0,401,0,125,0,0,24,0
"9d85c42e862991c0f4af99691edbb950",413,4508,33,9,52,420,929,178,4408,588,12,405,96,179,53,310,0,0,0,0,0,69,0,0,0,0,0,0,0,0,45,1714,55,634,113,32,152,1075,0,27,0,35,45,43,12,432,722,0,969,136,101,439,1691,304,616,9,17,0,21
"3329e754f6908f1124daecb6ac835ab7",221,362,0,0,0,122,24,84,336,3319,173,2591,23,15,138,0,146,177,322,514,28,0,0,130,48,136,104,0,286,254,511,1341,139,214,136,0,3725,604,13,398,110,481,158,0,1218,406,563,0,0,249,0,663,174,157,25,24,74,0,298
"c1a7116123b44f9d641a2c8a4ffb2117",230,486,0,0,0,273,108,0,223,2198,117,1624,393,116,320,157,0,126,0,141,323,98,0,278,90,235,57,314,120,170,178,1725,0,524,1599,113,1028,583,19,1230,151,828,105,0,134,108,1424,0,264,513,69,103,144,0,0,0,115,0,509
"311c812fbb6e0a8134797fb15622286d",0,0,0,27,0,0,0,1618,217,0,0,43,0,0,760,0,407,74,398,0,0,0,0,0,0,0,0,0,106,0,1635,2780,715,445,0,0,556,64,0,0,17,0,0,0,3119,421,2680,746,605,93,0,777,109,228,0,31,0,0,0
"46d755b8cfd1abf8dc3623193c9c8649",0,12,80,0,150,0,0,0,129,2554,0,868,0,3,0,0,0,49,0,86,0,0,0,0,0,0,0,6,0,48,0,2938,0,611,0,0,0,111,0,2758,3,1531,0,0,0,26,6260,0,172,0,0,0,127,0,0,0,0,0,0
"52bb5b3ac835e724a91e29d5d32641a1",182,363,59,0,85,803,0,622,309,550,76,547,2165,254,433,191,241,0,242,110,373,89,0,0,0,58,0,129,141,143,299,930,154,333,1823,0,842,501,0,379,0,257,252,0,135,185,715,259,454,641,81,161,249,364,70,0,692,75,282
"208f6e56d49e7c6fc199e5e669a82886",0,0,0,0,0,0,0,0,0,1547,0,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1180,0,390,0,0,0,0,45,7947,252,5355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a53acc00b2673d68af6152835b2696ae",0,10,18,0,26,0,0,0,131,1604,15,872,0,0,0,0,0,0,0,10,0,0,0,0,0,14,0,0,0,73,459,6236,168,1716,0,0,11,11,37,3109,232,2009,0,0,0,14,308,0,126,0,0,0,0,0,0,0,0,0,10
"d70916ef7d399047e497c38a9944fa2b",195,217,0,0,0,635,0,478,349,472,151,379,1715,206,637,0,0,0,175,75,597,0,0,0,0,0,0,0,237,0,154,135,121,116,1871,0,596,0,0,120,0,0,1016,72,372,118,769,184,506,2011,0,442,134,668,0,64,1191,0,0
