sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
G1-AWI11-S100-L001	225	149	66.22	120	120	53.33
G10-ROS4-S113-L001	130	90	69.23	41	41	31.54
G11-DAL30-S125-L001	87	43	49.43	25	25	28.74
G12-NOC23-S137-L001	268	176	65.67	118	118	44.03
G13-NOAA23-S149-L001	234	152	64.96	106	106	45.3
G14-ROS20-S161-L001	86	61	70.93	31	31	36.05
G15-AWI3-S173-L001	1651	1185	71.77	1124	1124	68.08
G16-NOC11-S185-L001	254	167	65.75	112	112	44.09
G17-DAL12-S102-L001	2	1	50	1	1	50
G18-NOAA6-S114-L001	34	25	73.53	18	18	52.94
G19-AWI7-S126-L001	277	207	74.73	178	178	64.26
G2-NOAA29-S112-L001	110	75	68.18	49	49	44.55
G20-ROS12-S138-L001	18	8	44.44	1	1	5.56
G21-NOC33-S150-L001	364	253	69.51	206	206	56.59
G22-DAL24-S162-L001	99	73	73.74	32	32	32.32
G23-NOAA12-S174-L001	37	26	70.27	10	10	27.03
G24-AWI15-S186-L001	118	76	64.41	51	51	43.22
G25-ROS8-S103-L001	51	22	43.14	6	6	11.76
G26-NOAA5-S115-L001	139	73	52.52	40	40	28.78
G27-eMock2-2-S127-L001	40052	28071	70.09	26529	12661	31.61
G28-eMock2-7-S139-L001	33657	23911	71.04	22437	10815	32.13
G29-eMockA-11-S151-L001	49007	34355	70.1	32406	15564	31.76
G3-DAL6-S124-L001	109	68	62.39	34	34	31.19
G30-eMockB-18-S163-L001	41371	29377	71.01	27789	12512	30.24
G31-eMockB-20-S175-L001	44236	31572	71.37	29879	13923	31.47
G32-bMock2-S187-L001	54019	37942	70.24	37185	29006	53.7
G33-bMock9-S104-L001	41793	29395	70.33	28781	22620	54.12
G34-bMock20-S116-L001	40883	29082	71.13	28434	22468	54.96
G35-bMock22-S128-L001	48602	33904	69.76	33170	25128	51.7
G36-bMock27-S140-L001	38375	26749	69.7	26190	20517	53.46
G4-ROS16-S136-L001	126	77	61.11	39	39	30.95
G5-NOC4-S148-L001	481	328	68.19	280	280	58.21
G6-DAL18-S160-L001	93	60	64.52	30	30	32.26
G7-NOC20-S172-L001	496	354	71.37	274	274	55.24
G8-AWI19-S184-L001	213	158	74.18	114	114	53.52
G9-NOAA17-S101-L001	28	17	60.71	7	7	25
