Feature ID	domain	phyla	class	order	family	genus	specie
569545f8a42b9bd2cb8f2190860c7ea4	d__Eukaryota	 p__Prymnesiophyceae	 c__Prymnesiophyceae	 o__Prymnesiophyceae	 f__Prymnesiophyceae	 g__Phaeocystis	 s__Phaeocystis_pouchetii
9f0ca134728879c9eb51338e41c70485	d__Eukaryota	 p__Chlorophyta	 c__Mamiellophyceae	 o__Mamiellales	 f__Mamiellales	 g__Micromonas	 s__uncultured_eukaryote
1eae06511aa974786b14f4e222ca57a3	d__Eukaryota	 p__Dinoflagellata	 c__Dinophyceae				
35933fad551063e9f2e4829da5554a44	d__Eukaryota	 p__Diatomea	 c__Mediophyceae	 o__Mediophyceae	 f__Mediophyceae	 g__Chaetoceros	 s__Chaetoceros_sp.
bda3ec65c4a67eece65e61bfd6ebb628	d__Eukaryota	 p__Dinoflagellata	 c__Dinophyceae				
b6867f56ec4bfddbdc0c417894a4fe7b	d__Eukaryota	 p__Prymnesiophyceae	 c__Prymnesiophyceae	 o__Prymnesiales	 f__Prymnesiales	 g__Prymnesium	 s__Prymnesium_parvum
237128ea377cc588003fe4536eb14fb3	d__Eukaryota	 p__Dinoflagellata	 c__Dinophyceae	 o__Gymnodiniphycidae			
8b9225f5d7cfd8cca6bd842108f3b927	d__Eukaryota	 p__Prymnesiophyceae	 c__Prymnesiophyceae	 o__Prymnesiophyceae	 f__Prymnesiophyceae	 g__Phaeocystis	 s__Phaeocystis_globosa
077cc84e1cc35812df8fd70f7d901c6d	d__Eukaryota	 p__Diatomea	 c__Mediophyceae	 o__Mediophyceae	 f__Mediophyceae	 g__Thalassiosira	 s__Conticribra_weissflogii
5dea43beea4bd78ac7751b0a09d5ea88	d__Eukaryota	 p__Prymnesiophyceae	 c__Prymnesiophyceae	 o__Isochrysidales	 f__Isochrysidales	 g__Isochrysis	 s__Isochrysis_galbana
c859a3bb6ea947e891c9deac01d53650	d__Eukaryota	 p__Diatomea	 c__Coscinodiscophytina	 o__Coscinodiscophytina	 f__Melosirids	 g__Melosira	 s__uncultured_stramenopile
b38fa3de7b5c59d9ed012dc21a7c5c15	d__Eukaryota	 p__Prymnesiophyceae	 c__Prymnesiophyceae	 o__Prymnesiophyceae	 f__Prymnesiophyceae	 g__Phaeocystis	 s__Phaeocystis_pouchetii
5f9d28dd142883b4247eac62f95a2dbc	d__Eukaryota	 p__Prymnesiophyceae	 c__Prymnesiophyceae	 o__Isochrysidales	 f__Isochrysidales	 g__Emiliania	 s__Emiliania_huxleyi
318423760049b3f0012cb8ea188b78e6	d__Eukaryota	 p__Prymnesiophyceae	 c__Prymnesiophyceae	 o__Prymnesiophyceae	 f__Prymnesiophyceae	 g__Phaeocystis	 s__Phaeocystis_pouchetii
54a47fbbba5a8133388e12dc29ed7e37	d__Eukaryota	 p__Chlorophyta	 c__Prasinophytae	 o__Prasinophytae	 f__Prasinophytae	 g__Prasinophytae	 s__Pyramimonas_parkeae
7d4f620b438e87d8cebc8a1074863149	d__Eukaryota	 p__Diatomea	 c__Coscinodiscophytina	 o__Fragilariales	 f__Fragilariales	 g__Plagiostriata	 s__Plagiostriata_goreensis
fa9268a271338d756cbe78f8beb5e358	d__Eukaryota	 p__Prymnesiophyceae	 c__Prymnesiophyceae	 o__Prymnesiophyceae	 f__Prymnesiophyceae	 g__Phaeocystis	 s__Phaeocystis_globosa
64b59066cb9c496b10f5aa14f40d71ab	d__Eukaryota	 p__Chlorophyta	 c__Prasinophytae	 o__Prasinococcales	 f__Prasinococcales	 g__Prasinococcus	 s__Prasinococcus_sp.
714815da0671bcba51d6b5ccf30a5a21	d__Eukaryota	 p__Diatomea	 c__Mediophyceae	 o__Mediophyceae	 f__Mediophyceae	 g__Chaetoceros	 s__Chaetoceros_socialis
402a758afd4286b6573acf2968c4f314	d__Eukaryota	 p__Prymnesiophyceae	 c__Prymnesiophyceae	 o__Isochrysidales	 f__Isochrysidales	 g__Emiliania	 s__Emiliania_huxleyi
5ab2a378b07c29d21fc054601414ff14	d__Eukaryota	 p__Dinoflagellata	 c__Dinophyceae	 o__Gonyaulacales	 f__Gonyaulacales	 g__Alexandrium	 s__Alexandrium_andersonii
fae42ed32b2a7b3bb66b7e5213e387a5	d__Eukaryota	 p__Chlorophyta	 c__Mamiellophyceae				
8f8f37f24496ee4f1d455c405c164dad	d__Eukaryota	 p__Diatomea	 c__Mediophyceae	 o__Mediophyceae	 f__Mediophyceae	 g__Thalassiosira	 s__uncultured_marine
fca1fdc1850a37f47ce08800827d65c6	d__Eukaryota	 p__Diatomea	 c__Bacillariophyceae	 o__Bacillariophyceae	 f__Bacillariophyceae		
a40d04da18795b31ba69cea378526aea	d__Eukaryota	 p__Chlorophyta	 c__Mamiellophyceae				
2efb39428b9773e4f98ba960586a7dc8	d__Eukaryota	 p__Prymnesiophyceae	 c__Prymnesiophyceae	 o__Prymnesiophyceae	 f__Prymnesiophyceae	 g__Phaeocystis	 s__Phaeocystis_pouchetii
a8120a329c5a581954c30123f1744bee	d__Eukaryota	 p__Dinoflagellata	 c__Dinophyceae	 o__Gymnodiniphycidae	 f__Kareniaceae	 g__Karlodinium	 s__uncultured_eukaryote
adbb9688430aa11383b1b1a247d9e876	d__Eukaryota	 p__Diatomea	 c__Mediophyceae	 o__Mediophyceae	 f__Mediophyceae		
0dd70a9a719613bc28d1077693f1ae31	d__Eukaryota	 p__Dinoflagellata	 c__Dinophyceae				
8dd5075fe5310a8faf6c96a4189678d0	d__Eukaryota	 p__Chlorophyta	 c__Prasinophytae	 o__Prasinococcales	 f__Prasinococcales	 g__Prasinococcus	
71dc140a76c91fd4f48f33819f208d6e	d__Eukaryota	 p__Dinoflagellata	 c__Dinophyceae				
b3115897edb50af3795606e77d7f078b	d__Eukaryota	 p__Dinoflagellata	 c__Dinophyceae				
6ca0945d435ef88ac23a62ee75c7db0b	d__Eukaryota	 p__Dinoflagellata	 c__Dinophyceae	 o__Gymnodiniphycidae	 f__Kareniaceae	 g__Karlodinium	 s__uncultured_eukaryote
1edf90b52ba47f3f1dff496eec4de783	d__Eukaryota	 p__Dinoflagellata	 c__Dinophyceae				
9fada4c649f369c4c307eb727b764bad	d__Eukaryota	 p__Chlorophyta	 c__Mamiellophyceae				
08d5f8a33253dca62c3e1f7a4f7a25ed	d__Eukaryota						
faa5d7539ca50d2e22204ae76c29dcff	d__Eukaryota	 p__Chlorophyta	 c__Mamiellophyceae				
