# Constructed from biom file																																				
#OTU ID	G1-AWI11	G10-ROS4	G11-DAL30	G12-NOC23	G13-NOAA23	G14-ROS20	G15-AWI3	G16-NOC11	G17-DAL12	G18-NOAA6	G19-AWI7	G2-NOAA29	G20-ROS12	G21-NOC33	G22-DAL24	G23-NOAA12	G24-AWI15	G25-ROS8	G26-NOAA5	G27-eMock2-2	G28-eMock2-7	G29-eMockA-11	G3-DAL6	G30-eMockB-18	G31-eMockB-20	G32-bMock2	G33-bMock9	G34-bMock20	G35-bMock22	G36-bMock27	G4-ROS16	G5-NOC4	G6-DAL18	G7-NOC20	G8-AWI19	G9-NOAA17
e94c43a6a4852fa204461351fbaaa24a	0	169	29	450	5406	63	0	306	0	2180	0	3162	46	480	45	2586	0	55	4688	0	0	0	53	0	0	0	0	0	0	0	77	565	25	564	0	1964
1c2db6bdf83c503d1c7a4f2ff92c2e5c	0	350	427	669	2967	95	4	554	203	1613	0	2363	77	511	628	1740	0	63	2354	0	0	3	644	0	0	0	0	0	0	0	151	1160	654	743	0	1413
af4ec853b8f3af897984b19fd4b71d91	483	635	1169	440	1364	294	1077	327	533	487	288	770	194	329	1783	616	191	232	856	0	0	0	1953	0	0	0	0	0	0	0	349	715	1402	401	360	293
2981aa9f69bc423dc502b2e178dc7904	0	315	59	1954	174	157	0	1797	28	80	0	237	132	1705	130	38	0	133	180	0	0	0	81	0	0	0	0	0	0	0	273	4022	63	2256	0	32
f35e22bbc30a072caa6b6f67fb160027	0	245	36	1066	1814	128	0	971	15	610	0	1033	62	965	53	800	0	92	1200	0	0	0	50	0	0	0	0	0	0	0	136	2143	62	1034	0	650
b329e09e7067a46d867cfd184f205737	2579	0	2	0	0	0	4815	0	0	0	1941	0	0	0	6	0	1160	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	2517	0
f35c0a576bb1ab3577191cb12352c249	0	125	152	407	2146	48	11	352	94	856	0	1430	28	368	279	1259	0	37	1802	0	0	0	235	0	0	0	0	0	0	0	69	677	244	358	0	847
e7d457c8e576acb383f5eff244652694	2370	0	0	0	0	0	3979	0	0	0	1527	0	0	0	0	0	1065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2851	0
20a0d2f150b3312772f5c00e54fd7baf	0	0	0	0	3393	0	0	24	0	1076	0	1906	0	0	0	1496	0	0	2333	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	1435
bdf18e8980906003f3978e5ee578c9ea	0	646	117	1347	435	326	0	1113	58	136	0	281	191	1026	164	179	0	195	346	0	0	0	156	0	0	0	0	0	0	0	432	2901	166	1033	0	153
