sample-id	input	filtered	denoised	merged	non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric
G1-AWI11	32136	26598	26300	25584	25519
G10-ROS4	52910	43555	42358	40513	39850
G11-DAL30	23133	18779	18087	16766	16668
G12-NOC23	65842	53972	52847	49966	48688
G13-NOAA23	85283	69794	68296	64945	63168
G14-ROS20	25319	20716	20059	19071	18824
G15-AWI3	64511	53354	53003	50599	50391
G16-NOC11	51373	42818	42013	40585	40099
G17-DAL12	10930	8909	8354	7761	7661
G18-NOAA6	36211	29931	29193	28003	27543
G19-AWI7	23609	19466	19256	18731	18689
G2-NOAA29	61790	51509	50275	48484	47582
G20-ROS12	15076	12260	11698	11002	10829
G21-NOC33	57035	46930	46148	44444	43794
G22-DAL24	39685	32642	31564	30202	29968
G23-NOAA12	41717	34308	33472	32238	31730
G24-AWI15	13441	11069	10901	10569	10536
G25-ROS8	17540	14333	13655	12840	12671
G26-NOAA5	70305	58446	57140	54164	52940
G27-eMock2-2	40684	30597	30074	112	112
G28-eMock2-7	34299	26069	25551	85	85
G29-eMockA-11	49816	37578	36782	156	156
G3-DAL6	35352	29235	28149	26379	26207
G30-eMockB-18	42104	31953	31426	106	106
G31-eMockB-20	45096	34245	33708	124	124
G32-bMock2	54647	41441	41238	104	104
G33-bMock9	42394	32116	31859	133	133
G34-bMock20	41530	31602	31310	90	90
G35-bMock22	49186	37049	36703	106	106
G36-bMock27	38836	29393	29173	77	77
G4-ROS16	29510	24366	23496	22410	22055
G5-NOC4	113558	94448	93166	89849	88020
G6-DAL18	29769	24551	23595	22029	21818
G7-NOC20	64062	53954	53169	51462	50754
G8-AWI19	27768	23049	22801	22097	22063
G9-NOAA17	28670	23349	22519	21454	21020
