Feature ID	domain	phyla	class	order	family	genus	specie
e94c43a6a4852fa204461351fbaaa24a	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Synechococcales	D_4__Cyanobiaceae	D_5__Synechococcus CC9902	
1c2db6bdf83c503d1c7a4f2ff92c2e5c	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Crocinitomicaceae	D_5__Fluviicola	
af4ec853b8f3af897984b19fd4b71d91	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Planktomarina	
2981aa9f69bc423dc502b2e178dc7904	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__uncultured bacterium ARCTIC13_E_12	D_5__uncultured bacterium ARCTIC13_E_12	D_6__uncultured bacterium ARCTIC13_E_12
b329e09e7067a46d867cfd184f205737	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__Polaribacter 1	
f35e22bbc30a072caa6b6f67fb160027	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS2b marine group	
bdf18e8980906003f3978e5ee578c9ea	D_0__Bacteria	D_1__Actinobacteria	D_2__Acidimicrobiia	D_3__Actinomarinales	D_4__Actinomarinaceae	D_5__Candidatus Actinomarina	
e7d457c8e576acb383f5eff244652694	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__uncultured bacterium ARCTIC13_E_12	D_5__uncultured bacterium ARCTIC13_E_12	D_6__uncultured bacterium ARCTIC13_E_12
f35c0a576bb1ab3577191cb12352c249	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae		
20a0d2f150b3312772f5c00e54fd7baf	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS2b marine group	
588253f8c914de60cbb9577946854a39	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__SAR11 clade	D_4__Clade I	D_5__Clade Ia	
6b9dd64d080d53d989a8407d9806429e	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Amylibacter	
f5e41c4abb7f6e6a33a0c15dcf65db3a	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__Blastopirellula	
11254cea51c1389ddabe05661e40c231	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__Ostreococcus tauri	D_5__Ostreococcus tauri	D_6__Ostreococcus tauri
1140e05ba561d7308c7868a120db8af8	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Cryomorphaceae	D_5__uncultured	
c497da3b39f30aceede6bec3b03cd100	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__SAR11 clade	D_4__Clade I	D_5__Clade Ia	
5b90f5ad96fee60584ae482aa005d594	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS4 marine group	
06ad8aee2710d4b77d4121a90e32bfb7	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS5 marine group	D_6__uncultured Bacteroidetes bacterium
bc794a8df80afbc3c469b5293b74c7f6	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__Phalacroma mitra	D_5__Phalacroma mitra	D_6__Phalacroma mitra
15949af7fbc59962388dce15963f9cec	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Oceanospirillales	D_4__Nitrincolaceae	D_5__uncultured	D_6__uncultured marine bacterium
1ce3b5c6d85ce967f8677e23e3e9b0be	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__SAR11 clade	D_4__Clade I	D_5__Clade Ia	
93057ec78dd6c1244479732042625975	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__bacterium WHC4-2	D_5__bacterium WHC4-2	D_6__bacterium WHC4-2
01e3a10453a0f7cc6f327b8091090c58	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__uncultured Cryptomonadaceae	D_5__uncultured Cryptomonadaceae	D_6__uncultured Cryptomonadaceae
0e775fc1584ed21db02c44461c5e120e	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__SAR11 clade	D_4__Clade I	D_5__Clade Ia	
1e614f8afc3f5658f8a367c418dde0f9	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS4 marine group	
401a67858704d406087efd35334e84e1	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__SAR11 clade	D_4__Clade II		
71a33c961f2ca92f6ce97184fcb81f01	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Chitinophagales	D_4__Saprospiraceae	D_5__Lewinella	D_6__uncultured marine bacterium
80dc946a01370f529b617e07f938d10a	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast			
afb7d45c7ac635614787ce82d123cffe	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__Rubripirellula	
9af3fa7eb6d9cbf3e29a02c0278de315	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae		
4cab0df7abb88b31989680d38a6e8df1	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Synechococcales	D_4__Cyanobiaceae	D_5__Synechococcus CC9902	
18100a59c7c5e99d864f5058168e81ef	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__uncultured prymnesiophyte C8704	D_5__uncultured prymnesiophyte C8704	D_6__uncultured prymnesiophyte C8704
d62838da3ee30dadf329ab73cf86f91a	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Cyclobacteriaceae	D_5__Marinoscillum	
d24ff835d731a79fc0db2e2aa9da42bd	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Alteromonadaceae	D_5__Glaciecola	D_6__uncultured Glaciecola sp.
7a7ac40b08f9a40f905485296442337e	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Parvibaculales	D_4__OCS116 clade		
980bd097972c54364b506a439d7c8383	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast			
0610930a536e19b0dcc65186c0f70cd3	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Loktanella	
2983438e2b03eb1c22c5b4d99292e6cb	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Puniceispirillales	D_4__SAR116 clade	D_5__uncultured marine bacterium	D_6__uncultured marine bacterium
7338e9edfef034ec21924ff03d3f4417	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Synechococcales	D_4__Cyanobiaceae	D_5__Synechococcus CC9902	
df29deb0aff9e983f503e7471e71f4ec	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Sulfitobacter	
0f2551eb7c43e82c8bd59d9e51a5aadf	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__NS9 marine group	D_5__uncultured Flavobacteriia bacterium	D_6__uncultured Flavobacteriia bacterium
5623a932ace577bbcad9b0f70414ad2a	D_0__Bacteria	D_1__Marinimicrobia (SAR406 clade)					
528b7d2f517aa245b8a2eb8257a5b77e	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast			
31f18280654c3b734dc52067fad44df7	D_0__Bacteria	D_1__Verrucomicrobia	D_2__Verrucomicrobiae	D_3__Verrucomicrobiales	D_4__Rubritaleaceae	D_5__Roseibacillus	D_6__uncultured marine bacterium
f499a7c0b96d88e6a1256c9d75449698	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Octadecabacter	Ambiguous_taxa
beb394ea8bdebf4c464de90c187f2068	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Sulfitobacter	
b9fa384ea0ddf95729a9f064538fa704	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS5 marine group	
a404bf4d32831f2133794e5fe5d0a73e	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Thiomicrospirales	D_4__Thioglobaceae	D_5__SUP05 cluster	
79e3ac10a2d72159ce7374eda836582d	D_0__Archaea	D_1__Euryarchaeota	D_2__Thermoplasmata	D_3__Marine Group II	D_4__unidentified archaeon	D_5__unidentified archaeon	D_6__unidentified archaeon
2dda0cf7fe5fd5572f238ac760be6590	D_0__Archaea	D_1__Euryarchaeota	D_2__Thermoplasmata	D_3__Marine Group II			
64b2411ef91c0e6c019f500c69cbbe03	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__unidentified marine eubacterium	D_5__unidentified marine eubacterium	D_6__unidentified marine eubacterium
5b368ac79a55817d531c36e645757709	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__uncultured	D_6__uncultured planctomycete
3eb760e60f9536beecf2260e8065c645	D_0__Archaea	D_1__Euryarchaeota	D_2__Thermoplasmata	D_3__Marine Group II			
37d067088a3339c0668f996fb2a8b581	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Cryomorphaceae	D_5__uncultured	
43d1fd957d6f9d3d189b720187ac4cb6	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__uncultured Cryptomonadaceae	D_5__uncultured Cryptomonadaceae	D_6__uncultured Cryptomonadaceae
21b98c7df61902a10c8c0140a56ce57b	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Lentibacter	D_6__uncultured bacterium
9315f70338c4022f010a9190263f7d52	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast			
17aa38dd0d158bab1867cdbcfd4cf321	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__NS9 marine group	Ambiguous_taxa	Ambiguous_taxa
659ed5c028a49ac18495504f2073e0bb	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Cyclobacteriaceae	D_5__Marinoscillum	D_6__uncultured marine bacterium
3468430277ce2317dec6f413dcfaa03e	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Ascidiaceihabitans	
f274e708a774d9250c89e480f83a48ff	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__uncultured Cryptomonadaceae	D_5__uncultured Cryptomonadaceae	D_6__uncultured Cryptomonadaceae
9bbdb9accefe3cf4f38fa0a237f15d43	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Synechococcales	D_4__Cyanobiaceae	D_5__Synechococcus CC9902	
2e51fa0db8d2cf6cabac348e5d568521	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast			
e662c4255904d5745ec8ed3db822c549	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae		
a8651618911e5bb5d1066e5abca8f322	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__Bathycoccus prasinos	D_5__Bathycoccus prasinos	D_6__Bathycoccus prasinos
ac9f56eb5dbfc3dc6b168fc73fc6c34c	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Ascidiaceihabitans	
955f08be215acf9ea5813b048fde6e43	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Sulfitobacter	D_6__uncultured marine bacterium
d883e3b29658c861ac524bbfc2cef34d	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast			
6535f44f34ab933cad7265fa384ce933	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__Formosa	
7c27b8d058831e12255075a55e16a9c4	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS5 marine group	
6ca963519d73907b4309d55554ffd58c	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Thiomicrospirales	D_4__Thioglobaceae	D_5__SUP05 cluster	
5f65d87ad5d03ee9410c2cde5f4e47f5	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Methylophilaceae	D_5__OM43 clade	
86cd70d2450e3f44f4a7c543f53008ee	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Synechococcales	D_4__Cyanobiaceae	D_5__Prochlorococcus MIT9313	
625cabfbd66e4f32de52ec86cb441744	D_0__Archaea	D_1__Thaumarchaeota	D_2__Nitrososphaeria	D_3__Nitrosopumilales	D_4__Nitrosopumilaceae	D_5__Candidatus Nitrosopumilus	
527c00e00c2e0a3bd17dd426b323b95f	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Crocinitomicaceae	D_5__Fluviicola	
52941d0608e7deac737a1153fc1a5698	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae		
b347d6c7bc7b33163c3382443f4403db	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Nereida	D_6__uncultured Nereida sp.
3dc44512f2dbf20c2e10fc4fc9c02ff3	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Burkholderiaceae	D_5__RS62 marine group	
f25c311d509defd7545b0a037d391d64	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Pirellulales	D_4__Pirellulaceae	D_5__Blastopirellula	
f6d7489eaa834ed60f970d5dc44820fa	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS5 marine group	
88314215756577324d6c7a022ea66a38	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS5 marine group	D_6__uncultured Flavobacterium sp.
8c7146307628fdf05429ceed76135848	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__Ulvibacter	D_6__uncultured marine bacterium
b43028c70c0f374f5c18bb2e6d3c7287	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Puniceispirillales	D_4__SAR116 clade	D_5__Candidatus Puniceispirillum	
d3f904c89fe4ebb73b13e028a5574924	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS5 marine group	D_6__uncultured bacterium ARCTIC26_B_07
6b9969aa03bb7b2a3fe78f8b19b2a738	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__uncultured	D_6__uncultured marine bacterium
6281afeaa2eda14bf31741e485790f48	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Cellvibrionales	D_4__Halieaceae	D_5__OM60(NOR5) clade	Ambiguous_taxa
7bc5d6c0df922d9766a94b78a8cb9f50	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__NS9 marine group	Ambiguous_taxa	Ambiguous_taxa
0b95feee5c93b0e3ad04838407a82f2f	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__NS7 marine group		
a8cfbdafb4547b8bcf33fc38d06fbe7b	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Cryomorphaceae	D_5__uncultured	D_6__uncultured Flavobacteriia bacterium
6a3f43ace0d5bb2a33b6f00cc49ba841	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS3a marine group	
e8bc6982b3aa4dc4d038e4439ccd9b73	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Cryomorphaceae	D_5__uncultured	D_6__uncultured Owenweeksia sp.
9e501ec468462eda6ada2c7bbc9de94f	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__HIMB11	
02063592af0989cf1e58e72a0d4ce738	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__Phalacroma mitra	D_5__Phalacroma mitra	D_6__Phalacroma mitra
31c730d916cab2592f86c8c4500f721d	D_0__Archaea	D_1__Euryarchaeota	D_2__Thermoplasmata	D_3__Marine Group II			
530331ca57abe8df1d6f9b161de209d5	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS2b marine group	
d3db1448d357be6541daeea9507e3dfa	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__HIMB11	
777545c0810a511bc08bcaa0258ec37d	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast			
68c525b7ec5bddddc1ad49e66f60f899	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__Phalacroma mitra	D_5__Phalacroma mitra	D_6__Phalacroma mitra
bd1acc8433c9d5a93f22dcba76db225d	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__NS9 marine group	D_5__marine metagenome	D_6__marine metagenome
232219084f234c1b31d90324e6d1832f	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast			
edd3ec021d2822a47beeb4cb65023760	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__marine metagenome	D_5__marine metagenome	D_6__marine metagenome
fdab8158256e83dc6d3ccc56c58f44f1	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast			
327afa1fad45bbde75f633a7f388404f	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS5 marine group	
721d069082c6c3f62d51a2881346caa9	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae		
c1797175f7325ec39a2cd4bd3659691a	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Thiomicrospirales	D_4__Thioglobaceae	D_5__SUP05 cluster	D_6__uncultured marine bacterium
e0bcc4ff45b4c9a6efc1d52def1dba5d	D_0__Bacteria	D_1__Planctomycetes	D_2__Planctomycetacia	D_3__Planctomycetales	D_4__Rubinisphaeraceae	D_5__Planctomicrobium	D_6__uncultured bacterium
5e4ba03402a627f3f60b77b68fdef427	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__SAR11 clade	D_4__Clade I	D_5__Clade Ia	
68b538d3c6d84a80d89bd09bc9729be0	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__Formosa	
99aa8ea7e4b238f3f04572e1d31c295c	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__NS7 marine group		
688550e839137d4b55c6e4e7a98c82dc	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Cellvibrionales	D_4__Halieaceae	D_5__OM60(NOR5) clade	
54f83b4ab535b9b8b3af4e9b57b45d9f	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS2b marine group	D_6__uncultured marine bacterium
be35da9bbac0348530c0a43c33e73072	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__Polaribacter 4	Ambiguous_taxa
3df3ac022ea2067940b454e0936d0ec1	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__Polaribacter 1	Ambiguous_taxa
5e4991ef40a6bd0a406131bcbf789ecb	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Synechococcales	D_4__Cyanobiaceae	D_5__Synechococcus CC9902	
ff3b4d0459c8fb12eb4b391fe1f26bca	D_0__Bacteria	D_1__Marinimicrobia (SAR406 clade)	D_2__Alteromonas macleodii	D_3__Alteromonas macleodii	D_4__Alteromonas macleodii	D_5__Alteromonas macleodii	D_6__Alteromonas macleodii
2577420cd7ba2e9e13c27593e8d8250a	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Cellvibrionales	D_4__Porticoccaceae	D_5__SAR92 clade	Ambiguous_taxa
57b3beebda7862a64be26dc80e2863c2	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__SAR86 clade	D_4__uncultured proteobacterium OCS44	D_5__uncultured proteobacterium OCS44	D_6__uncultured proteobacterium OCS44
10937812a8cd1af330124b28d002884c	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS4 marine group	
d59d2cbfdcf5917833bc782cf6a3f680	D_0__Bacteria	D_1__Cyanobacteria	D_2__Oxyphotobacteria	D_3__Chloroplast	D_4__uncultured Cryptomonadaceae	D_5__uncultured Cryptomonadaceae	D_6__uncultured Cryptomonadaceae
81e2ea71a16131b5475a53682b3487ee	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS4 marine group	
