Feature ID	domain	phyla	class	order	family	genus	specie
a8e11bcea533fa5dbe124e0ac1a57010	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__NS5_marine_group	
f5e713f523a1fcb0401f0d786f4170cb	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Amylibacter	
893ddb0ea7f30889b34ae3cfd79137eb	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Planktomarina	
6fedb278f91c7b921aeaac95c29fc33c	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Parvibaculales	 f__OCS116_clade	 g__OCS116_clade	
a9ca4a33659c034cd85c83089d3a3ba8	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__NS5_marine_group	
d28afaadaa9b3af0ec3cbaba22d45c75	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Yoonia-Loktanella	 s__uncultured_Alphaproteobacteria
33e606a17333cb5dc7cd0e67cc5f3e8b	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Cyclobacteriaceae	 g__Marinoscillum	 s__marine_metagenome
66cc1385b844ca37a9f49713cff221ba	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Puniceispirillales	 f__SAR116_clade	 g__SAR116_clade	 s__alpha_proteobacterium
fc3e098d42f7370f4539050d334ce881	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__NS5_marine_group	 s__seawater_metagenome
6268dae028e7ffc40ac8256ca5220ba6	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__NS2b_marine_group	
1dee632b2401f9b46a88590dcb62d82b	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Thiomicrospirales	 f__Thioglobaceae	 g__SUP05_cluster	
dd1e6ca71c98d8fd889daff0e1b3955b	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Roseobacter_clade_NAC11-7_lineage	 s__uncultured_Rhodobacteraceae
ae2d16a77603b63b752e4ad7490a6274	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Nereida	
