sample-id,reads-raw,unique-reads-derep,reads-derep,unique-reads-deblur,reads-deblur,unique-reads-hit-artifact,reads-hit-artifact,unique-reads-chimeric,reads-chimeric,unique-reads-hit-reference,reads-hit-reference,unique-reads-missed-reference,reads-missed-reference
G1-AWI11,31893,1430,23411,358,19078,0,0,36,72,100,7825,222,11181
G10-ROS4,52575,2684,37606,1301,29406,0,0,67,143,298,8255,936,21008
G11-DAL30,22951,1545,15559,924,12877,0,0,23,49,222,3885,679,8943
G12-NOC23,65340,3588,46322,1346,34895,0,0,280,616,287,7651,779,26628
G13-NOAA23,84725,4691,61116,1643,44716,0,0,294,666,357,12910,992,31140
G14-ROS20,25106,1545,17272,800,13411,0,0,9,16,181,3547,610,9848
G15-AWI3,63801,2615,47421,559,38104,0,0,89,192,166,15516,304,22396
G16-NOC11,51023,2442,36536,875,28194,0,0,43,113,200,6940,632,21141
G17-DAL12,10862,823,7076,563,5969,0,0,4,8,131,1800,428,4161
G18-NOAA6,36013,1936,25872,822,19574,0,0,25,53,201,5398,596,14123
G19-AWI7,23444,1058,17139,318,14122,0,0,10,21,95,5495,213,8606
G2-NOAA29,61487,3187,45381,1197,33626,0,0,49,103,279,9361,869,24162
G20-ROS12,14988,1116,9882,623,7679,0,0,5,9,156,2159,462,5511
G21-NOC33,56646,3016,40736,1054,30669,0,0,82,170,260,7068,712,23431
G22-DAL24,39480,2254,27730,1210,22619,0,0,12,24,316,6688,882,15907
G23-NOAA12,41487,2203,29498,923,22393,0,0,10,25,223,6622,690,15746
G24-AWI15,13329,594,9351,214,7823,0,0,0,0,59,3117,155,4706
G25-ROS8,17374,1175,11852,707,9310,0,0,5,8,170,2483,532,6819
G26-NOAA5,69906,3746,50839,1528,37589,0,0,236,517,287,10357,1005,26715
G27-eMock2-2,30389,1652,8438,466,4451,0,0,178,484,269,3875,19,92
G28-eMock2-7,25813,1406,6901,432,3630,0,0,160,420,255,3149,17,61
G29-eMockA-11,36865,2118,10201,610,5092,0,0,223,594,362,4396,25,102
G3-DAL6,35174,2168,24581,1212,20188,0,0,68,141,283,6097,861,13950
G30-eMockB-18,31388,1743,8745,495,4468,0,0,201,585,273,3809,21,74
G31-eMockB-20,33945,1873,9747,526,5012,0,0,209,599,292,4296,25,117
G32-bMock2,44974,2074,16791,240,7826,0,0,102,369,108,7359,30,98
G33-bMock9,34960,1801,13229,224,6334,0,0,88,276,114,5958,22,100
G34-bMock20,34277,1872,13095,231,6205,0,0,82,269,128,5857,21,79
G35-bMock22,40224,2079,14682,263,6780,0,0,109,353,130,6329,24,98
G36-bMock27,31827,1650,11435,227,5480,0,0,89,254,121,5159,17,67
G4-ROS16,29334,1918,20550,927,15573,0,0,12,29,230,4273,685,11271
G5-NOC4,112963,5671,83572,1603,61876,0,0,275,629,334,14539,994,46708
G6-DAL18,29598,1944,20389,1098,16709,0,0,75,160,267,4662,756,11887
G7-NOC20,63676,2965,47330,1057,36718,0,0,25,77,281,7900,751,28741
G8-AWI19,27589,1180,19913,315,16347,0,0,18,41,88,6217,209,10089
G9-NOAA17,28484,1621,19570,767,15136,0,0,47,104,184,3998,536,11034
