Feature ID	domain	phyla	class	order	family	genus	specie
a8e11bcea533fa5dbe124e0ac1a57010	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS5 marine group	D_6__uncultured Bacteroidetes bacterium
f5e713f523a1fcb0401f0d786f4170cb	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Amylibacter	
893ddb0ea7f30889b34ae3cfd79137eb	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Planktomarina	
6fedb278f91c7b921aeaac95c29fc33c	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Parvibaculales	D_4__OCS116 clade		
a9ca4a33659c034cd85c83089d3a3ba8	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS5 marine group	
d28afaadaa9b3af0ec3cbaba22d45c75	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Loktanella	
33e606a17333cb5dc7cd0e67cc5f3e8b	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Cytophagales	D_4__Cyclobacteriaceae	D_5__Marinoscillum	
66cc1385b844ca37a9f49713cff221ba	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Puniceispirillales	D_4__SAR116 clade		
fc3e098d42f7370f4539050d334ce881	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS5 marine group	D_6__seawater metagenome
6268dae028e7ffc40ac8256ca5220ba6	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS2b marine group	
1dee632b2401f9b46a88590dcb62d82b	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Thiomicrospirales	D_4__Thioglobaceae	D_5__SUP05 cluster	
dd1e6ca71c98d8fd889daff0e1b3955b	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae		
ae2d16a77603b63b752e4ad7490a6274	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Nereida	D_6__uncultured Nereida sp.
7e61db192608598e8c1230eaa7655dc2	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS5 marine group	
ed033b7613f5946671931f3be25dfc76	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Steroidobacterales	D_4__Woeseiaceae	D_5__Woeseia	D_6__uncultured marine bacterium
eb780bfb2c59d557b9a4622f2be3f59f	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Methylophilaceae	D_5__OM43 clade	
bb4f9073c0b7368fddfdc2db73878b7e	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Thiomicrospirales	D_4__Thioglobaceae	D_5__SUP05 cluster	
c189c6d58f7032aea424f7fb805b4388	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae		
0a29142ee6230ef462cabd35c5f4fce7	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae		
10b26f620d7f7072558783e5b7575931	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae	D_5__Ascidiaceihabitans	
c71fe371443759a32e72fe07cf89e207	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Oceanospirillales	D_4__Litoricolaceae	D_5__Litoricola	D_6__uncultured gamma proteobacterium CHAB-V-35
d71d69560fa053f23df35b712893ead4	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__SAR86 clade			
4226b6e1ddce91d1ba43a73cb0f68509	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__SAR86 clade	D_4__uncultured proteobacterium OCS44	D_5__uncultured proteobacterium OCS44	D_6__uncultured proteobacterium OCS44
9c37640306089e3bacf52f3fe1788e8f	D_0__Bacteria	D_1__Marinimicrobia (SAR406 clade)	D_2__uncultured bacterium MB13C05	D_3__uncultured bacterium MB13C05	D_4__uncultured bacterium MB13C05	D_5__uncultured bacterium MB13C05	D_6__uncultured bacterium MB13C05
5710bc69410fc2f5bde73f5ea7273a0e	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__Flavobacteriaceae	D_5__NS5 marine group	
3ec9901eab8edada026f560b14e38466	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Cellvibrionales	D_4__Halieaceae	D_5__OM60(NOR5) clade	
3cabadd6bc63ee778fae6d2725318722	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Thiotrichales	D_4__Thiotrichaceae	D_5__uncultured	D_6__uncultured marine bacterium
64e1cf12b0c898879db80144953f533e	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__SAR86 clade	D_4__uncultured gamma proteobacterium KTc1121	D_5__uncultured gamma proteobacterium KTc1121	D_6__uncultured gamma proteobacterium KTc1121
ab74b1fc1eaa847c46eaef145c7731f7	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Betaproteobacteriales	D_4__Methylophilaceae	D_5__OM43 clade	
a1b0012ddc1ce75a3a65357cd976f3d7	D_0__Bacteria	D_1__Bacteroidetes	D_2__Bacteroidia	D_3__Flavobacteriales	D_4__NS9 marine group	Ambiguous_taxa	Ambiguous_taxa
2aa919ff2e4bc2291214153f040fbe70	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae		
9c8ed74fb5f19bbf980cb3569a8416d9	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Cellvibrionales	D_4__Halieaceae	D_5__OM60(NOR5) clade	Ambiguous_taxa
99fd91ee9e2049172d716bf6ca6d0dfa	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Alteromonadales	D_4__Marinobacteraceae	D_5__Marinobacter	
b7b396b84a3caaf5458df7b90ace3f8d	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Cellvibrionales	D_4__Halieaceae	D_5__Luminiphilus	
c480dd5aabc5bd31b4021653e00ea6b9	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhodobacterales	D_4__Rhodobacteraceae		
eb43d67007698aff1b5211259e9e0900	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__SAR86 clade	D_4__uncultured gamma proteobacterium KTc1121	D_5__uncultured gamma proteobacterium KTc1121	D_6__uncultured gamma proteobacterium KTc1121
10a25a7637211417828077a6d4f7d579	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Cellvibrionales	D_4__Halieaceae	D_5__OM60(NOR5) clade	
fbbd79c4c62affd40ad41e83bbcd7f83	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__Thiomicrospirales	D_4__Thioglobaceae	D_5__SUP05 cluster	
31a8d15c2a0fa8d6f9c85027ff954982	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Caulobacterales	D_4__Hyphomonadaceae	D_5__Hellea	Ambiguous_taxa
f92fd9960882bbc85d0efe3f627652dd	D_0__Bacteria	D_1__Proteobacteria	D_2__Gammaproteobacteria	D_3__UBA10353 marine group			
9923e8b4f033eac6154bf40b90e5f8b4	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Puniceispirillales	D_4__SAR116 clade		
399c5a91a98eda984ae68d78708a2f41	D_0__Bacteria	D_1__Proteobacteria	D_2__Alphaproteobacteria	D_3__Rhizobiales	D_4__Methyloligellaceae	D_5__uncultured	
