# Constructed from biom file
#OTU ID	G1-AWI11	G10-ROS4	G11-DAL30	G12-NOC23	G13-NOAA23	G14-ROS20	G15-AWI3	G16-NOC11	G17-DAL12	G18-NOAA6	G19-AWI7	G2-NOAA29	G20-ROS12	G21-NOC33	G22-DAL24	G23-NOAA12	G24-AWI15	G25-ROS8	G26-NOAA5	G27-eMock2-2	G28-eMock2-7	G29-eMockA-11	G3-DAL6	G30-eMockB-18	G31-eMockB-20	G32-bMock2	G33-bMock9	G34-bMock20	G35-bMock22	G36-bMock27	G4-ROS16	G5-NOC4	G6-DAL18	G7-NOC20	G8-AWI19	G9-NOAA17
fe4874418656daa285ee7eb201f3200f	462.0	0.0	41.0	7.0	0.0	0.0	657.0	13.0	27.0	0.0	339.0	0.0	0.0	6.0	38.0	0.0	179.0	27.0	56.0	2090.0	2533.0	2185.0	47.0	3009.0	2396.0	77044.0	76604.0	125588.0	76699.0	76668.0	0.0	7.0	120.0	6.0	261.0	0.0
2e38ad406954960793b88640ac007716	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	2873.0	3003.0	2986.0	0.0	3662.0	3367.0	13208.0	15422.0	26792.0	14818.0	14973.0	0.0	0.0	0.0	0.0	0.0	0.0
8c78f1751307e693124b5aab1b14dc3c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5387.0	5651.0	5343.0	0.0	6316.0	5805.0	3496.0	3453.0	5914.0	3652.0	3472.0	0.0	0.0	0.0	0.0	0.0	0.0
5db3451184ce53177a460ab6dd5c8aaf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3678.0	2702.0	3522.0	0.0	4303.0	4170.0	2782.0	3173.0	5261.0	3087.0	2999.0	0.0	0.0	0.0	0.0	0.0	0.0
bcbcd1762bfbad1ab4f1277836a4aa5d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4091.0	4107.0	3835.0	0.0	4590.0	4278.0	1588.0	1784.0	2819.0	1854.0	1715.0	0.0	0.0	0.0	0.0	0.0	0.0
71a1a2faa2131c308eba9a5efe429e9c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	139.0	110.0	0.0	159.0	132.0	4189.0	4251.0	6964.0	4229.0	4309.0	0.0	0.0	0.0	0.0	0.0	0.0
4d49a2189d30ab13c504d637d78c637c	597.0	0.0	0.0	0.0	0.0	0.0	862.0	0.0	0.0	0.0	742.0	0.0	0.0	0.0	0.0	0.0	330.0	0.0	0.0	563.0	824.0	768.0	0.0	880.0	724.0	1473.0	2086.0	3457.0	2124.0	2053.0	0.0	0.0	0.0	0.0	350.0	0.0
a47a9a677336a39c491e58ca1d235d81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1802.0	1838.0	1864.0	0.0	1982.0	2036.0	951.0	1064.0	1897.0	1070.0	1097.0	0.0	0.0	0.0	0.0	0.0	0.0
390a840275a7fbb5c749a102641c3324	0.0	21.0	296.0	0.0	15.0	20.0	0.0	0.0	189.0	15.0	0.0	13.0	17.0	0.0	277.0	0.0	0.0	17.0	0.0	1760.0	1864.0	1735.0	245.0	2019.0	1819.0	214.0	251.0	453.0	237.0	279.0	9.0	0.0	585.0	0.0	0.0	10.0
561846d9b548df367da55dfd6380629f	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	8.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	1419.0	1521.0	1486.0	0.0	1768.0	1632.0	676.0	834.0	1312.0	863.0	794.0	0.0	0.0	0.0	0.0	0.0	0.0
3af20cf008bfa1f5b5ab5908d121ec69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2065.0	2078.0	1766.0	0.0	2370.0	2344.0	214.0	225.0	398.0	248.0	214.0	0.0	0.0	0.0	0.0	0.0	0.0
a41edd35c0cdc80beb10cea6063e71bc	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	382.0	406.0	420.0	0.0	470.0	452.0	1209.0	1885.0	2830.0	1848.0	1907.0	0.0	0.0	0.0	0.0	0.0	0.0
d7bf6cd3567a59eb4ddf913b2982e859	2819.0	110.0	0.0	247.0	0.0	44.0	2599.0	295.0	0.0	0.0	1739.0	0.0	63.0	112.0	0.0	0.0	1161.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	235.0	0.0	315.0	1944.0	0.0
