Feature ID	domain	phyla	class	order	family	genus	specie
fe4874418656daa285ee7eb201f3200f	D_0__Eukaryota	D_1__Haptophyta	D_2__Prymnesiophyceae	D_3__Phaeocystis	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
2e38ad406954960793b88640ac007716	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Dinoflagellata			
8c78f1751307e693124b5aab1b14dc3c	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Dinoflagellata			
5db3451184ce53177a460ab6dd5c8aaf	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Dinoflagellata			
bcbcd1762bfbad1ab4f1277836a4aa5d	D_0__Eukaryota	D_1__Haptophyta	D_2__Prymnesiophyceae	D_3__Prymnesiales	D_4__Prymnesium	Ambiguous_taxa	Ambiguous_taxa
71a1a2faa2131c308eba9a5efe429e9c	D_0__Eukaryota	D_1__Haptophyta	D_2__Prymnesiophyceae	D_3__Phaeocystis	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
4d49a2189d30ab13c504d637d78c637c	D_0__Eukaryota	D_1__Archaeplastida	D_2__Chloroplastida	D_3__Chlorophyta	D_5__Mamiellales	D_6__Micromonas	D_7__uncultured eukaryote
a47a9a677336a39c491e58ca1d235d81	D_0__Eukaryota	D_1__Haptophyta	D_2__Prymnesiophyceae	D_3__Isochrysidales	D_4__Isochrysis	Ambiguous_taxa	Ambiguous_taxa
390a840275a7fbb5c749a102641c3324	D_0__Eukaryota	D_1__Haptophyta	D_2__Prymnesiophyceae	D_3__Isochrysidales	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
561846d9b548df367da55dfd6380629f	D_0__Eukaryota	D_1__Haptophyta	D_2__Prymnesiophyceae	D_3__Phaeocystis	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
3af20cf008bfa1f5b5ab5908d121ec69	D_0__Eukaryota	D_1__Archaeplastida	D_2__Chloroplastida	D_3__Chlorophyta	D_5__Pyramimonadales	D_6__Pyramimonas	D_7__Pyramimonas parkeae
a41edd35c0cdc80beb10cea6063e71bc	D_0__Eukaryota	D_1__SAR	D_2__Stramenopiles	D_3__Ochrophyta	D_6__Mediophyceae	D_7__Thalassiosira	Ambiguous_taxa
d7bf6cd3567a59eb4ddf913b2982e859	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Dinoflagellata	D_5__Gymnodiniphycidae	D_6__Gyrodinium	
016119bae19d1cca8495e0e8bfb51ddd	D_0__Eukaryota	D_1__SAR	D_2__Alveolata				
d5b9cde5e412aa095cb19d1f39681bec	D_0__Eukaryota	D_1__Haptophyta	D_2__Prymnesiophyceae	D_3__Phaeocystis	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
8cedf551698981bcb2ca086712a7dc0e	D_0__Eukaryota	D_1__SAR	D_2__Stramenopiles	D_3__Ochrophyta	D_6__Melosirids	D_7__Melosira	Ambiguous_taxa
d70916ef7d399047e497c38a9944fa2b	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Dinoflagellata			
0405ca6bb7a7a0e72c44dda1af11c979	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Dinoflagellata	D_6__Gonyaulacales	D_7__Alexandrium	
7d845f7cd9e8da4fd28608b1ecbf994b	D_0__Eukaryota	D_1__SAR	D_2__Stramenopiles	D_3__Ochrophyta	D_6__Mediophyceae	D_7__Chaetoceros	D_8__Chaetoceros sp. DDZ-2010a
2e8824287090e9e38ae811be96c19ddd	D_0__Eukaryota	D_1__Haptophyta	D_2__Prymnesiophyceae	D_3__Phaeocystis	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
40c222e376242166d1a51ae77077ef2c	D_0__Eukaryota	D_1__SAR	D_2__Stramenopiles	D_3__Ochrophyta	D_6__Fragilariales	D_7__Plagiostriata	D_8__Plagiostriata goreensis
1176c37294050ac8484324633b395b3f	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Dinoflagellata	D_6__Gymnodinium clade	D_7__Gymnodinium	D_8__uncultured eukaryote
6faa8b13721ada71e0959673366a830d	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_7__Gymnolaemata	D_8__Ctenostomatida	D_9__Alcyonidium gelatinosum
915ea0c01f1445c1cc5f9bf393f13a59	D_0__Eukaryota	D_1__Haptophyta	D_2__Prymnesiophyceae	D_3__Phaeocystis	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
f2b7d49979c74443a36cd3114646724b	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_9__Copelata	D_10__Oikopleuridae	D_11__Oikopleura sp.
9866dbaaca3ffd79affe9925c493e561	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_9__Copepoda	D_10__Cyclopoida	D_11__uncultured marine eukaryote
0f0ef7ebf8bb0f3b808c93489270744a	D_0__Eukaryota	D_1__SAR	D_2__Stramenopiles	D_3__Ochrophyta	D_6__Mediophyceae	D_7__Odontella	Ambiguous_taxa
