# Constructed from biom file
#OTU ID	G10-ROS4	G26-NOAA5	G3-DAL6	G1-AWI11	G23-NOAA12	G14-ROS20	G6-DAL18	G19-AWI7	G27-eMock2-2	G9-NOAA17	G11-DAL30	G17-DAL12	G22-DAL24	G31-eMockB-20	G32-bMock2	G24-AWI15	G30-eMockB-18	G18-NOAA6	G20-ROS12	G35-bMock22	G4-ROS16	G7-NOC20	G12-NOC23	G15-AWI3	G28-eMock2-7	G29-eMockA-11	G33-bMock9	G21-NOC33	G5-NOC4	G34-bMock20	G2-NOAA29	G16-NOC11	G8-AWI19	G36-bMock27	G25-ROS8	G13-NOAA23
62bcce88c7d71dd508b8d0d06e552baf	314.0	0.0	0.0	0.0	0.0	173.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	232.0	0.0	160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.0	0.0
2943399098cbf8581ff041c99cb5ed4c	199.0	2.0	11.0	0.0	0.0	117.0	24.0	0.0	0.0	0.0	20.0	17.0	23.0	0.0	0.0	0.0	0.0	9.0	169.0	0.0	66.0	293.0	252.0	0.0	0.0	0.0	0.0	175.0	168.0	0.0	7.0	136.0	0.0	0.0	120.0	0.0
d480fc8155edbd56b554b70787c79ac9	165.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	120.0	0.0	78.0	267.0	124.0	0.0	0.0	0.0	0.0	64.0	158.0	0.0	0.0	86.0	0.0	0.0	72.0	0.0
e97d0ec51858d8a7d23ac9065ce9918e	151.0	0.0	0.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.0	0.0	84.0	614.0	302.0	0.0	0.0	0.0	0.0	691.0	236.0	0.0	0.0	710.0	0.0	0.0	88.0	0.0
47b587d606b5fc8b7fc0dced4068fd09	129.0	4.0	22.0	2.0	1.0	69.0	35.0	0.0	0.0	3.0	9.0	8.0	8.0	0.0	0.0	2.0	0.0	1.0	63.0	0.0	40.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	4.0	0.0	42.0	5.0
c65f4c374101d94469a116f7f5614ed3	114.0	13.0	182.0	6.0	13.0	83.0	446.0	0.0	0.0	7.0	173.0	140.0	212.0	0.0	0.0	0.0	2.0	19.0	95.0	0.0	71.0	220.0	94.0	0.0	0.0	0.0	0.0	61.0	111.0	0.0	45.0	125.0	0.0	0.0	58.0	29.0
cd1884288d136d297d5b86d853843d03	110.0	0.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	33.0	74.0	62.0	0.0	0.0	0.0	0.0	14.0	29.0	0.0	0.0	14.0	0.0	0.0	37.0	0.0
0f8f900333b4cb45c405aff8ab238b55	109.0	0.0	0.0	0.0	0.0	78.0	8.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	56.0	306.0	214.0	0.0	0.0	0.0	0.0	195.0	195.0	0.0	0.0	213.0	0.0	0.0	52.0	0.0
162d05a21abe66f5043f4951adcbda98	107.0	101.0	0.0	0.0	30.0	69.0	0.0	0.0	0.0	15.0	0.0	5.0	3.0	0.0	0.0	0.0	0.0	130.0	102.0	0.0	74.0	90.0	72.0	0.0	0.0	0.0	0.0	54.0	64.0	0.0	137.0	80.0	0.0	0.0	61.0	69.0
5cc126e3ac06c91480d78bd2d3b815f8	80.0	0.0	0.0	1973.0	2.0	34.0	0.0	1177.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	815.0	0.0	0.0	48.0	0.0	10.0	214.0	185.0	1930.0	0.0	0.0	0.0	71.0	166.0	0.0	0.0	202.0	1392.0	0.0	34.0	0.0
