Feature ID	domain	phyla	class	order	family	genus	specie
62bcce88c7d71dd508b8d0d06e552baf	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_8__Pteriomorphia	D_9__Mytiloida	Ambiguous_taxa
2943399098cbf8581ff041c99cb5ed4c	D_0__Eukaryota	D_1__SAR	D_2__Alveolata				
d480fc8155edbd56b554b70787c79ac9	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Dinoflagellata	D_6__Gymnodinium clade		
e97d0ec51858d8a7d23ac9065ce9918e	D_0__Eukaryota	D_1__Opisthokonta	D_2__Holozoa	D_3__Metazoa (Animalia)	D_9__Copelata	D_10__Oikopleuridae	D_11__Oikopleura sp.
47b587d606b5fc8b7fc0dced4068fd09	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Dinoflagellata	D_6__Kareniaceae	D_7__Karlodinium	D_8__uncultured marine alveolate
c65f4c374101d94469a116f7f5614ed3	D_0__Eukaryota	D_1__Cryptophyceae	D_2__Cryptomonadales	D_3__Teleaulax			
cd1884288d136d297d5b86d853843d03	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Dinoflagellata	D_4__Incertae Sedis	D_5__Haplozoon	Ambiguous_taxa
0f8f900333b4cb45c405aff8ab238b55	D_0__Eukaryota	D_1__Haptophyta	D_2__Prymnesiophyceae	D_3__Phaeocystis	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
162d05a21abe66f5043f4951adcbda98	D_0__Eukaryota	D_1__Archaeplastida	D_2__Chloroplastida	D_3__Chlorophyta	D_5__Mamiellales	D_6__Ostreococcus	Ambiguous_taxa
5cc126e3ac06c91480d78bd2d3b815f8	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Dinoflagellata	D_5__Gymnodiniphycidae	D_6__Gyrodinium	
29cff3b8725539734a554d1898cf8285	D_0__Eukaryota	D_1__SAR	D_2__Stramenopiles	D_3__Ochrophyta	D_6__Mediophyceae	D_7__Minutocellus	D_8__Minutocellus polymorphus
08c2e26fa1baaab596ee32a303b3ad26	D_0__Eukaryota	D_1__Cryptophyceae	D_2__Cryptomonadales	D_3__Geminigera			
9ab2d0083672f1d4f58dbe628119dbc6	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Protalveolata	D_4__Syndiniales	D_5__Syndiniales Group I	D_6__Uncultured marine alveolate Group II DH145-EKD20
5ebd00c609732d9be3f99a30070e5862	D_0__Eukaryota	D_1__Picozoa	D_2__Picomonadida	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa	Ambiguous_taxa
a6eb0330a094b69b7f3d547b0bf13ef4	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Protalveolata	D_4__Syndiniales	D_5__Syndiniales Group I	
6bd7ffda69055e4c4384e59337e41638	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Protalveolata	D_4__Syndiniales	D_5__uncultured	D_6__uncultured marine alveolate
3fdae2112e47447a31273e0ec2b6a0c8	D_0__Eukaryota	D_1__Archaeplastida	D_2__Chloroplastida	D_3__Chlorophyta	D_5__Mamiellales		
de6be8b35d2346fe97a751d780513594	D_0__Eukaryota	D_1__Cryptophyceae	D_2__Cryptomonadales				
d175818192baa1e0a518392c578838ed	D_0__Eukaryota	D_1__Archaeplastida	D_2__Chloroplastida	D_3__Chlorophyta	D_5__Mamiellales	D_6__Bathycoccus	
e09add800794223087d45c2a037af818	D_0__Eukaryota	D_1__SAR	D_2__Alveolata	D_3__Dinoflagellata	D_5__Gymnodiniphycidae	D_6__Gyrodinium	Ambiguous_taxa
