"ASVs","domain","phyla","class","order","family","genus","specie"
"9866dbaaca3ffd79affe9925c493e561","Eukaryota","Arthropoda","Maxillopoda","Cyclopoida","Cyclopoida","Cyclopoida",""
"a149ac2700d4fa5511b1cd92e99a0b21","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"d7bf6cd3567a59eb4ddf913b2982e859","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodiniphycidae","Gyrodinium",""
"19bc519596eb5bf51419ceac27922610","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"016119bae19d1cca8495e0e8bfb51ddd","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"46f53e65cf52042d1edf6fc0b767873f","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"a58d4e4c7d74dad448b43dc0ed245565","Eukaryota","Diatomea","Bacillariophyceae","Bacillariophyceae","Bacillariophyceae","",""
"fe4874418656daa285ee7eb201f3200f","Eukaryota","Prymnesiophyceae","Prymnesiophyceae","Prymnesiophyceae","Prymnesiophyceae","Phaeocystis","Phaeocystis_pouchetii"
"0653bd74f4bad1f28b5c7c33f5df29c5","Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Mamiellales","Bathycoccus",""
"79cc18bca11d6f0eab3fdd0b42f83c33","Eukaryota","Retaria","Acantharia","","","",""
"df00ced29ee3e674106d5b2ec466bb0d","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_II","Syndiniales_Group_II",""
"9d85c42e862991c0f4af99691edbb950","Eukaryota","Protalveolata","Syndiniales","Syndiniales","Syndiniales_Group_I","Syndiniales_Group_I",""
"3329e754f6908f1124daecb6ac835ab7","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"c1a7116123b44f9d641a2c8a4ffb2117","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"311c812fbb6e0a8134797fb15622286d","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"46d755b8cfd1abf8dc3623193c9c8649","Eukaryota","Chlorophyta","Mamiellophyceae","","","",""
"52bb5b3ac835e724a91e29d5d32641a1","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"208f6e56d49e7c6fc199e5e669a82886","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"a53acc00b2673d68af6152835b2696ae","Eukaryota","Cryptophyceae","Cryptophyceae","Cryptomonadales","Cryptomonadales","Teleaulax","metagenome"
"d70916ef7d399047e497c38a9944fa2b","Eukaryota","Dinoflagellata","Dinophyceae","","","",""
"6647f10540f27fbb6ee1155daf91baec","Eukaryota","Picozoa","Picomonadida","Picomonadidae","Picomonadidae","Picomonas","uncultured_biliphyte"
